# Which OGKM tags actually ship a public NVIDIA .run installer.
#
# WHY THIS EXISTS: sweep_plan.py used to choose driver versions from the 216
# supported OGKM tags alone. Publishing an open-gpu-kernel-modules tag and
# publishing a downloadable driver are DIFFERENT THINGS -- 87 of the 216 tags
# have no .run at either public path. A plan built without this file sends
# boxes to install drivers that cannot be obtained, and every one of them
# burns a rental and returns `driver-install-failed`. Observed 2026-08-30:
# 10 of 24 planned versions (42%) were unobtainable.
#
# Probed by range-requesting one byte of each candidate URL, in this order:
#   https://us.download.nvidia.com/XFree86/Linux-x86_64/$v/NVIDIA-Linux-x86_64-$v.run
#   https://us.download.nvidia.com/tesla/$v/NVIDIA-Linux-x86_64-$v.run
# AVAILABLE means one returned 200/206 and the third column is that URL.
#
# NOTE 403 != ABSENT. A rented box saw HTTP 403 for URLs that return 206 from a
# normal network, i.e. NVIDIA's CDN rate-limits/blocks some hosts. That is what
# --driver-cache is for: fetch here, upload to the box. Do not re-probe from a
# rented box and do not let a 403 rewrite this file.
#
# Regenerate from a trusted network; it changes only when NVIDIA publishes or
# withdraws an installer.
#
# version	status	url
580.142	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.142/NVIDIA-Linux-x86_64-580.142.run
580.159.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.159.03/NVIDIA-Linux-x86_64-580.159.03.run
580.159.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.159.04/NVIDIA-Linux-x86_64-580.159.04.run
580.167.08	AVAILABLE	https://us.download.nvidia.com/tesla/580.167.08/NVIDIA-Linux-x86_64-580.167.08.run
580.173.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.173.02/NVIDIA-Linux-x86_64-580.173.02.run
580.178.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.178.04/NVIDIA-Linux-x86_64-580.178.04.run
580.65.06	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.65.06/NVIDIA-Linux-x86_64-580.65.06.run
580.76.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.76.05/NVIDIA-Linux-x86_64-580.76.05.run
580.82.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.82.07/NVIDIA-Linux-x86_64-580.82.07.run
580.82.09	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.82.09/NVIDIA-Linux-x86_64-580.82.09.run
580.94.02	ABSENT	-
580.94.03	ABSENT	-
580.94.06	ABSENT	-
580.94.10	ABSENT	-
580.94.11	ABSENT	-
580.94.13	ABSENT	-
580.94.16	ABSENT	-
580.94.17	ABSENT	-
580.94.18	ABSENT	-
580.95.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.95.05/NVIDIA-Linux-x86_64-580.95.05.run
590.44.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/590.44.01/NVIDIA-Linux-x86_64-590.44.01.run
590.48.01	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/590.48.01/NVIDIA-Linux-x86_64-590.48.01.run
595.44.02	ABSENT	-
595.44.03	ABSENT	-
595.44.05	ABSENT	-
595.44.06	ABSENT	-
595.44.07	ABSENT	-
595.44.08	ABSENT	-
595.44.09	ABSENT	-
595.44.10	ABSENT	-
595.44.11	ABSENT	-
595.44.13	ABSENT	-
595.44.14	ABSENT	-
595.45.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.45.04/NVIDIA-Linux-x86_64-595.45.04.run
595.58.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.58.03/NVIDIA-Linux-x86_64-595.58.03.run
595.71.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.71.05/NVIDIA-Linux-x86_64-595.71.05.run
595.80	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.80/NVIDIA-Linux-x86_64-595.80.run
595.84	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.84/NVIDIA-Linux-x86_64-595.84.run
595.91.07	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/595.91.07/NVIDIA-Linux-x86_64-595.91.07.run
610.43.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/610.43.02/NVIDIA-Linux-x86_64-610.43.02.run
610.43.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/610.43.03/NVIDIA-Linux-x86_64-610.43.03.run
610.57.04	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/610.57.04/NVIDIA-Linux-x86_64-610.57.04.run
